Product Interest,Ad ID,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/12/2015,8/12/2015,8/10/2015,2,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/13/2015,8/13/2015,8/10/2015,2,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/14/2015,8/14/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/15/2015,8/15/2015,8/10/2015,2,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,,8/15/2015,8/10/2015,2,Online Search,Web
Bowflex Revolution,CAM31268 icaosgcwgl1cab,,8/15/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM31268 icaosgcwgl1cab,8/16/2015,8/16/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM37662 icaosgcwsl23,8/14/2015,8/14/2015,8/10/2015,2,Online Search,Web
Bowflex Home Gyms,CAM39395 icaosbcgsl8,8/16/2015,8/16/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,,8/11/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM40991 icaosbcggl1cab,8/15/2015,8/15/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/10/2015,8/10/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/11/2015,8/11/2015,8/10/2015,5,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/13/2015,8/13/2015,8/10/2015,2,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/14/2015,8/14/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,,8/14/2015,8/10/2015,1,Online Search,Web
Bowflex Home Gyms,CAM41258 icaosgcwsl30,8/15/2015,8/15/2015,8/10/2015,7,Online Search,Web
